id,ethfrac,country,intervention,ln_peace_duration,ln_deaths,ln_wardur,ln_population,ln_military,ln_gdppc,polity
41_2,1.3591229915618896,Haiti,0,2.397895336151123,0,9,8.775395393371582,2.079441547393799,6.239290714263916,-6
41_3,1.3591229915618896,Haiti,1,4.9628448486328125,5.521461009979248,12,8.813140869140625,1.0986123085021973,6.218027591705322,7
52_2,55.8431510925293,Trinidad and Tobago,0,5.068904399871826,3.4011974334716797,1,7.102499485015869,0.6931471824645996,8.317168235778809,9
70_2,30.510818481445312,Mexico,0,3.4011974334716797,4.976733684539795,1,11.401993751525879,5.164785861968994,8.109823226928711,0
70_3,30.510818481445312,Mexico,0,4.418840408325195,0,4,11.44998550415039,5.521461009979248,8.0884370803833,4
90_5,64.36841583251953,Guatemala,1,4.553876876831055,5.703782558441162,12,9.230142593383789,3.5835189819335938,6.97382116317749,3
92_3,16.59187126159668,El Salvador,1,4.9628448486328125,10.915088653564453,156,8.5773468017578125,3.891820192337036,7.578049659729004,-6
93_3,17.93286895751953,Nicaragua,1,5.1179938316345215,10.308952331542969,97,8.249052047729492,3.332204580307007,6.527446746826172,-5
95_2,26.085155487060547,Panama,0,5.129898548126221,4.317488193511963,1,7.762170791625977,2.6390573978424072,7.7754926681518555,8
101_2,10.734701156616211,Venezuela,0,4.8828020095825195,5.20948600769043,10,9.923290252685547,4.317488193511963,8.221384048461914,8
135_3,58.968650817871094,Peru,0,3.8501474857330322,10.337507247924805,240,10.16199779510498,4.744932174682617,7.846555233001709,3
150_4,14.492237091064453,Paraguay,0,5.176149845123291,5.2983174324035645,1,8.303751945495605,2.7725887298583984,7.521063804626465,2
343_2,50.95635223388672,Macedonia,0,3.295836925506592,4.976733684539795,4,7.618251323699951,2.7725887298583984,7.789594650268555,6
344_1,33.42210006713867,Croatia,1,2.397895336151123,5.2983174324035645,24,8.47156810760498,4.248495101928711,8.23945140838623,-3
344_2,33.42210006713867,Croatia,1,4.553876876831055,6.620073318481445,12,8.418477058410645,4.060442924499512,8.23945140838623,-3
345_2,75.38124084472656,Serbia and Montenegro,0,4.276666164398193,9.117457389831543,7,9.259130477905273,4.919981002807617,9.300219535827637,-5
345_3,75.38124084472656,Serbia and Montenegro,1,3.97029185295105,8.411832809448242,17,9.268609046936035,4.653960227966309,7.540744304656982,-5
346_2,69.71532440185547,Bosnia and Herzegovina,1,4.553876876831055,10.915088653564453,44,8.171317100524902,4.499809741973877,6.888387203216553,0
359_2,55.156951904296875,Moldova,0,4.912654876708984,6.476972579956055,5,8.378161430358887,2.1972246170043945,6.561113357543945,5
360_2,25.216304779052734,Romania,0,5.1179938316345215,6.812345027923584,1,10.051907539367676,4.836281776428223,7.49977445602417,-2
365_3,66.6593017578125,Russia,0,2.4849066734313965,5.26269006729126,1,11.911701202392578,7.313220500946045,8.063912391662598,4
365_4,66.6593017578125,Russia,0,3.1354942321777344,10.729700088500977,25,11.898187637329102,7.170119762420654,7.930816650390625,4
372_2,49.551002502441406,Georgia,0,1.0986123085021973,7.669028282165527,2,8.600982666015625,3.2188758850097656,7.228053092956543,4
372_4,49.551002502441406,Georgia,1,4.779123306274414,8.340456008911133,17,8.590071678161621,1.945910096168518,6.641933917999268,4
373_2,30.352413177490234,Azerbaijan,0,1.7917594909667969,9.865785598754883,31,8.935508728027344,3.9120230674743652,6.121515274047852,-3
373_3,30.352413177490234,Azerbaijan,0,4.553876876831055,9.8699312210083,10,8.957123756408691,4.382026672363281,5.984435081481934,-6
404_2,80.37569427490234,Guinea-Bissau,0,3.9889841079711914,7.5229411125183105,12,7.1921820640563965,1.945910096168518,5.2408318519592285,0
432_2,77.83106994628906,Mali,0,3.5553481578826904,5.2983174324035645,7,9.070733070373535,2.5649492740631104,5.531299114227295,-7
432_3,77.83106994628906,Mali,0,4.672828674316406,5.2983174324035645,7,9.171599388122559,2.4849066734313965,5.52581262588501,7
433_2,72.2772216796875,Senegal,0,2.397895336151123,6.6970343589782715,60,8.927579879760742,2.890371799468994,6.330108165740967,-1
433_3,72.2772216796875,Senegal,0,2.397895336151123,6.6970343589782715,60,9.00380802154541,2.6390573978424072,6.316624641418457,-1
433_4,72.2772216796875,Senegal,0,2.397895336151123,6.6970343589782715,60,9.052984237670898,2.6390573978424072,6.267042636871338,-1
433_5,72.2772216796875,Senegal,0,2.397895336151123,6.6970343589782715,60,9.21034049987793,2.3025851249694824,6.3129963874816895,-1
436_2,73.25880432128906,Niger,0,2.397895336151123,4.442651271820068,23,9.039196014404297,1.6094379425048828,5.363159656524658,8
436_3,73.25880432128906,Niger,0,2.4849066734313965,4.442651271820068,23,9.10897159576416,1.6094379425048828,5.343021869659424,8
436_4,73.25880432128906,Niger,0,4.2626800537109375,4.442651271820068,23,9.21034049987793,1.7917594909667969,5.336945533752441,-6
438_3,74.96074676513672,Guinea,0,3.1354942321777344,7.003065586090088,16,8.954673767089844,2.3025851249694824,6.414933204650879,-1
450_3,82.99122619628906,Liberia,1,3.931825637817383,10.043249130249023,69,7.9131550788879395,1.6094379425048828,6.021154403686523,-6
451_2,76.88465118408203,Sierra Leone,1,3.5553481578826904,9.472474098205566,117,8.543445587158203,1.7917594909667969,5.726383686065674,-6
461_3,71.06902313232422,Togo,0,4.969813346862793,3.2188758850097656,1,8.170186042785645,2.079441547393799,5.904004096984863,-5
482_2,68.62994384765625,Central African Republic,0,1.6094379425048828,4.094344615936279,1,8.233503341674805,1.0986123085021973,5.826783180236816,5
483_2,82.62728118896484,Chad,0,1.0986123085021973,10.15704345703125,278,8.644001960754395,3.4965076446533203,5.617166519165039,-9
483_3,82.62728118896484,Chad,0,2.3025851249694824,10.428215980529785,20,8.696008682250977,3.9120230674743652,5.494826793670654,-7
483_4,82.62728118896484,Chad,0,3.1354942321777344,10.457344055175781,37,8.814478874206543,3.6888794898986816,5.487175464630127,-5
484_2,65.72123718261719,Congo,0,3.1354942321777344,5.164785861968994,14,7.984803199768066,2.3025851249694824,6.65273380279541,5
484_3,65.72123718261719,Congo,0,3.1354942321777344,4.753590106964111,12,8.145259857177734,2.3025851249694824,6.590160369873047,5
490_6,90.1631851196289,Zaire,0,1.7917594909667969,8.294049263000488,15,10.772686958312988,3.9120230674743652,4.81443452835083,0
490_7,90.1631851196289,Zaire,1,3.1354942321777344,11.911701202392578,41,10.851277351379395,4.394449234008789,4.688796043395996,0
500_6,89.946533203125,Uganda,0,3.1354942321777344,11.587104797363281,132,9.836278915405273,4.248495101928711,5.561975955963135,3
516_3,3.5510659217834473,Burundi,0,3.044522523880005,8.699514389038086,98,8.680841445922852,2.5649492740631104,5.351335525512695,-7
517_2,12.921083450317383,Rwanda,1,3.295836925506592,8.6125030517578125,51,8.6475191116333,3.4011974334716797,5.676651954650879,-7
520_3,7.674294471740723,Somalia,0,3.931825637817383,11.108709335327148,192,8.971321105957031,3.9120230674743652,6.612040996551514,-7
522_2,69.33390808105469,Djibouti,0,3.97029185295105,5.991464614868164,38,6.363028049468994,2.079441547393799,6.983334064483643,-8
522_3,69.33390808105469,Djibouti,0,3.8501474857330322,0,6,6.5012898445129395,2.079441547393799,6.622176647186279,2
530_3,69.35932922363281,Ethiopia,0,3.8501474857330322,12.44744873046875,360,10.970024108886719,4.787491798400879,5.348928451538086,-9
531_2,58.749996185302734,Eritrea,0,2.397895336151123,0,12,8.26333236694336,4.605170249938965,5.212006568908691,-6
531_3,58.749996185302734,Eritrea,0,3.5553481578826904,0,12,8.318010330200195,5.2983174324035645,5.201952934265137,-6
541_2,65.49300384521484,Mozambique,1,4.8903489112854,11.863582611083984,156,9.595602989196777,3.9120230674743652,4.860348701477051,-8
560_2,87.72270965576172,South Africa,0,5.1873860359191895,10.27505111694336,269,10.448714256286621,4.605170249938965,8.1499662399292,4
565_1,67.65489196777344,Namibia,1,5.1179938316345215,10.126630783081055,269,7.250635623931885,2.3025851249694824,7.622665882110596,6
570_2,22.24825096130371,Lesotho,0,4.127134323120117,4.736198425292969,1,7.443663597106934,0.6931471824645996,6.281885147094727,0
600_3,53.40092086791992,Morocco,1,5.1179938316345215,9.472704887390137,180,10.085808753967285,5.2729997634887695,6.813518524169922,-9
630_3,75.65816497802734,Iran,0,2.397895336151123,3.9120230674743652,12,10.881814002990723,6.403573989868164,7.517747402191162,-10
630_4,75.65816497802734,Iran,0,3.1354942321777344,3.9120230674743652,12,10.9681978225708,6.269096374511719,7.078665256500244,-6
630_5,75.65816497802734,Iran,0,1.3862943649291992,3.9120230674743652,12,11.01862907409668,6.291569232940674,7.301309585571289,-6
630_6,75.65816497802734,Iran,0,2.397895336151123,5.799092769622803,36,11.033275604248047,6.131226539611816,7.3394455909729,-6
630_7,75.65816497802734,Iran,0,3.1354942321777344,5.799092769622803,36,11.089805603027344,6.240275859832764,7.360198020935059,3
645_5,36.24711608886719,Iraq,0,4.418840408325195,9.982529640197754,144,9.989665031433105,5.991464614868164,8.3777008056640625,-7
651_2,4.400849342346191,Egypt,0,4.077537536621094,7.134093761444092,70,11.047710418701172,6.063785076141357,6.896339416503906,-3
660_3,13.480514526367188,Lebanon,1,5.0434250831604,11.877568244934082,189,8.21824836730957,3.5835189819335938,7.75427770614624,0
679_2,6,Yemen,0,4.718498706817627,8.6125030517578125,4,9.60238265991211,4.234106540679932,5.548002243041992,-2
700_3,65.828094482421875,Afghanistan,0,2.397895336151123,13.228523254394531,265,10.239959716796875,5.991464614868164,6.914731025695801,-7
702_2,55.156951904296875,Tajikistan,1,2.397895336151123,10.628618240356445,55,8.702509880065918,2.3025851249694824,5.857973575592041,-6
702_3,55.156951904296875,Tajikistan,1,4.077537536621094,4.605170249938965,12,8.725831985473633,1.945910096168518,5.293266773223877,-5
704_2,48.453609466552734,Uzbekistan,0,3.5553481578826904,4.094344615936279,5,10.126630783081055,3.9512436389923096,6.483577728271484,-9
770_4,64.4509048461914,Pakistan,0,3.8501474857330322,7.8240461349487305,24,11.61728572845459,6.336825847625732,6.109303951263428,8
770_5,64.4509048461914,Pakistan,0,4.418840408325195,7.8240461349487305,24,11.759785652160645,6.413458824157715,6.186435699462891,8
771_3,0.49750804901123047,Bangladesh,0,4.875197410583496,5.46806001663208,12,11.661345481872559,4.672828674316406,5.436097621917725,-7
780_3,46.70414352416992,Sri Lanka,0,2.397895336151123,9.6803436279296875,78,9.852193832397461,4.795790672302246,6.22597074508667,5
811_4,29.692340850830078,Cambodia,0,4.077537536621094,11.424094200134277,241,9.433484077453613,4.094344615936279,5.858333587646484,-7
812_4,59.96567153930664,Laos,0,5.0434250831604,5.2983174324035645,24,8.352082252502441,3.97029185295105,5.6179890632629395,-7
840_3,74.51771545410156,Philippines,0,0.6931471824645996,11.052080154418945,24,11.154821395874023,4.634728908538818,6.765491008758545,2
850_6,76.40583801269531,Indonesia,0,1.945910096168518,8.987196922302246,1,12.08953857421875,5.64544677734375,5.951386451721191,-7
850_7,76.40583801269531,Indonesia,0,1.6094379425048828,7.070724010467529,72,12.106252670288086,5.627621173858643,6.655009746551514,-7
850_8,76.40583801269531,Indonesia,0,3.8501474857330322,8.987196922302246,1,12.138863563537598,5.602118968963623,6.723345756530762,-7
910_2,44.50503158569336,Papua New Guinea,0,2.397895336151123,5.521461009979248,60,8.313362121582031,1.3862943649291992,6.733610153198242,10
910_3,44.50503158569336,Papua New Guinea,0,4.418840408325195,5.521461009979248,60,8.468213081359863,1.6094379425048828,6.707461357116699,10
